planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
Kepler-355 c,,0.242,25.762294,2014.0,Primary Transit,Kepler-355,,1.05,1.07,,Kepler-355,c,25.762294,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.262563,16.045354,4.44
Kepler-356 b,,0.14,4.612696,2014.0,Primary Transit,Kepler-356,,0.97,1.33,,Kepler-356,b,4.612696,,,,,Kepler,0.95 m Kepler Telescope,0.0,70.66920400000001,9.308079,4.26
Kepler-356 c,,0.161,13.121632,2014.0,Primary Transit,Kepler-356,,0.97,1.33,,Kepler-356,c,13.121632,,,,,Kepler,0.95 m Kepler Telescope,0.0,70.66920400000001,9.308079,4.26
Kepler-357 b,,0.16399999999999998,6.475434,2014.0,Primary Transit,Kepler-357,,0.78,0.83,,Kepler-357,b,6.475434,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.044608,12.913288,4.5
Kepler-357 c,,0.23800000000000002,16.85837,2014.0,Primary Transit,Kepler-357,,0.78,0.83,,Kepler-357,c,16.85837,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.044608,12.913288,4.5
Kepler-357 d,,0.306,49.499875,2014.0,Primary Transit,Kepler-357,,0.78,0.83,,Kepler-357,d,49.499875,,,,,Kepler,0.95 m Kepler Telescope,0.0,76.044608,12.913288,4.5
Kepler-358 b,,0.243,34.060466999999996,2014.0,Primary Transit,Kepler-358,,0.95,0.95,,Kepler-358,b,34.060466999999996,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.613415,13.517387,4.5
Kepler-358 c,,0.254,83.48836899999999,2014.0,Primary Transit,Kepler-358,,0.95,0.95,,Kepler-358,c,83.48836899999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.613415,13.517387,4.5
Kepler-359 b,,0.315,25.563222,2014.0,Primary Transit,Kepler-359,,1.07,1.09,,Kepler-359,b,25.563222,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.05888399999999,10.769752,4.43
Kepler-359 c,,0.384,57.688019999999995,2014.0,Primary Transit,Kepler-359,,1.07,1.09,,Kepler-359,c,57.688019999999995,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.05888399999999,10.769752,4.43
